ExperimentID,ImageName,ImageID,FeatureID,Feature_TypeID,Feature_left,Feature_top,Feature_right,Feature_bottom
19, 000000490791.jpg, 12, 7, 2, 224, 238, 398, 416
19, 000000211860.jpg, 13, 1, 0, 206, 85, 229, 109
19, 000000211860.jpg, 13, 2, 2, 205, 208, 334, 355
19, 000000479944.jpg, 15, 1, 0, 103, 38, 162, 97
19, 000000479944.jpg, 15, 2, 1, 41, 241, 77, 278
19, 000000479944.jpg, 15, 3, 1, 198, 218, 234, 253
19, 000000479944.jpg, 15, 4, 2, 15, 222, 209, 416
19, 000000032778.jpg, 16, 1, 0, 263, 83, 287, 106
19, 000000032778.jpg, 16, 2, 1, 213, 18, 237, 40
19, 000000032778.jpg, 16, 3, 2, 117, 152, 353, 314
19, 000000319095.jpg, 17, 1, 2, 147, 191, 204, 250
19, 000000251660.jpg, 19, 1, 2, 94, 253, 166, 373
19, 000000534787.jpg, 20, 1, 0, 190, 82, 239, 131
19, 000000534787.jpg, 20, 2, 1, 189, 133, 220, 156
19, 000000534787.jpg, 20, 3, 2, 88, 261, 380, 416
19, 000000534796.jpg, 22, 1, 2, 0, 299, 14, 315
19, 000000534796.jpg, 22, 2, 2, 16, 309, 34, 328
19, 000000534796.jpg, 22, 3, 2, 354, 270, 362, 277
19, 000000534796.jpg, 22, 4, 2, 30, 307, 48, 325
19, 000000534796.jpg, 22, 5, 2, 345, 269, 350, 277
19, 000000534796.jpg, 22, 6, 2, 69, 250, 78, 260
19, 000000534796.jpg, 22, 7, 2, 355, 318, 380, 335
19, 000000534796.jpg, 22, 8, 2, 322, 319, 343, 333
19, 000000534796.jpg, 22, 9, 2, 259, 265, 266, 271
19, 000000534796.jpg, 22, 10, 2, 187, 249, 193, 254
19, 000000210077.jpg, 23, 1, 0, 110, 152, 133, 176
19, 000000210077.jpg, 23, 2, 2, 76, 285, 142, 415
19, 000000210077.jpg, 23, 3, 2, 203, 213, 247, 246
19, 000000045621.jpg, 24, 1, 2, 0, 211, 6, 242
19, 000000027897.jpg, 26, 1, 2, 290, 216, 320, 279
19, 000000027897.jpg, 26, 2, 2, 312, 231, 366, 316
19, 000000027897.jpg, 26, 3, 2, 355, 207, 395, 262
19, 000000293820.jpg, 27, 1, 0, 127, 91, 198, 162
19, 000000293820.jpg, 27, 2, 1, 121, 193, 155, 255
19, 000000293820.jpg, 27, 3, 2, 9, 206, 214, 370
19, 000000581022.jpg, 28, 1, 0, 283, 151, 317, 186
19, 000000581022.jpg, 28, 2, 0, 205, 152, 254, 201
19, 000000581022.jpg, 28, 3, 1, 272, 302, 294, 330
19, 000000581022.jpg, 28, 4, 2, 275, 218, 386, 298
19, 000000497592.jpg, 29, 1, 2, 0, 202, 34, 275
19, 000000497592.jpg, 29, 2, 2, 346, 180, 384, 251
19, 000000497592.jpg, 29, 3, 2, 181, 190, 215, 263
19, 000000497592.jpg, 29, 4, 2, 27, 201, 62, 274
19, 000000497592.jpg, 29, 5, 2, 79, 195, 115, 269
19, 000000497592.jpg, 29, 6, 2, 383, 184, 409, 249
19, 000000497592.jpg, 29, 7, 2, 55, 196, 86, 270
19, 000000497592.jpg, 29, 8, 2, 153, 194, 186, 263
19, 000000497592.jpg, 29, 9, 2, 130, 196, 160, 265
19, 000000497592.jpg, 29, 10, 2, 303, 192, 333, 256
19, 000000497592.jpg, 29, 11, 2, 226, 191, 260, 260
19, 000000497592.jpg, 29, 12, 2, 278, 194, 308, 257
19, 000000497592.jpg, 29, 13, 2, 103, 194, 137, 269
19, 000000497592.jpg, 29, 14, 2, 254, 184, 283, 239
19, 000000497592.jpg, 29, 15, 2, 207, 193, 239, 261
19, 000000497592.jpg, 29, 16, 2, 324, 187, 352, 254
19, 000000214966.jpg, 30, 1, 2, 76, 225, 175, 328
19, 000000525354.jpg, 31, 1, 0, 128, 108, 275, 255
19, 000000525354.jpg, 31, 2, 2, 0, 233, 321, 415
19, 000000394415.jpg, 32, 1, 1, 198, 263, 215, 290
19, 000000394415.jpg, 32, 2, 2, 160, 278, 269, 414
19, 000000397716.jpg, 33, 1, 2, 364, 344, 416, 416
19, 000000410165.jpg, 34, 1, 2, 306, 115, 351, 141
19, 000000410165.jpg, 34, 2, 2, 304, 133, 352, 177
19, 000000388677.jpg, 35, 1, 0, 176, 62, 210, 96
19, 000000388677.jpg, 35, 2, 2, 60, 177, 80, 209
19, 000000388677.jpg, 35, 3, 2, 14, 178, 35, 212
19, 000000388677.jpg, 35, 4, 2, 94, 255, 188, 416
19, 000000396105.jpg, 37, 1, 2, 177, 94, 217, 168
19, 000000396105.jpg, 37, 2, 2, 0, 103, 32, 173
19, 000000396105.jpg, 37, 3, 2, 338, 67, 368, 116
19, 000000396105.jpg, 37, 4, 2, 383, 323, 401, 352
19, 000000028875.jpg, 38, 1, 2, 202, 235, 380, 316
19, 000000221317.jpg, 39, 1, 2, 226, 339, 242, 363
19, 000000221317.jpg, 39, 2, 2, 242, 313, 269, 335
19, 000000221317.jpg, 39, 3, 2, 195, 314, 213, 338
19, 000000221317.jpg, 39, 4, 2, 214, 313, 229, 338
19, 000000221317.jpg, 39, 5, 2, 234, 315, 249, 338
19, 000000401001.jpg, 40, 1, 0, 214, 82, 248, 116
19, 000000401001.jpg, 40, 2, 2, 183, 227, 330, 396
19, 000000431047.jpg, 41, 1, 0, 223, 62, 308, 147
19, 000000431047.jpg, 41, 2, 1, 165, 196, 206, 222
19, 000000502816.jpg, 42, 1, 2, 338, 240, 391, 297
19, 000000366598.jpg, 43, 1, 2, 164, 263, 241, 384
19, 000000541580.jpg, 44, 1, 2, 100, 368, 119, 392
19, 000000337375.jpg, 45, 1, 1, 317, 68, 339, 84
19, 000000337375.jpg, 45, 2, 1, 27, 81, 60, 93
19, 000000337375.jpg, 45, 3, 2, 345, 149, 416, 252
19, 000000337375.jpg, 45, 4, 2, 78, 185, 319, 315
19, 000000010142.jpg, 47, 1, 2, 210, 260, 266, 368
19, 000000418929.jpg, 48, 1, 1, 201, 220, 220, 241
19, 000000418929.jpg, 48, 2, 2, 0, 137, 233, 244
19, 000000473320.jpg, 49, 1, 0, 283, 193, 317, 227
19, 000000473320.jpg, 49, 2, 0, 85, 98, 144, 157
19, 000000473320.jpg, 49, 3, 1, 63, 142, 102, 171
19, 000000473320.jpg, 49, 4, 2, 267, 217, 345, 287
19, 000000473320.jpg, 49, 5, 2, 1, 203, 196, 327
19, 000000576652.jpg, 50, 1, 2, 123, 186, 248, 244
19, 000000475765.jpg, 51, 1, 2, 231, 182, 281, 247
19, 000000050238.jpg, 52, 1, 2, 336, 195, 378, 274
19, 000000050238.jpg, 52, 2, 2, 253, 163, 289, 203
19, 000000577759.jpg, 53, 1, 0, 83, 64, 230, 210
19, 000000577759.jpg, 53, 2, 1, 312, 292, 366, 403
19, 000000295740.jpg, 54, 1, 0, 200, 148, 234, 182
19, 000000152326.jpg, 55, 1, 0, 185, 87, 234, 136
19, 000000152326.jpg, 55, 2, 0, 103, 62, 162, 121
19, 000000152326.jpg, 55, 3, 2, 45, 253, 255, 415
19, 000000470885.jpg, 56, 1, 2, 0, 252, 44, 293
19, 000000470885.jpg, 56, 2, 2, 104, 164, 140, 186
19, 000000470885.jpg, 56, 3, 2, 157, 167, 179, 191
19, 000000470885.jpg, 56, 4, 2, 251, 179, 289, 196
19, 000000470885.jpg, 56, 5, 2, 137, 173, 151, 188
19, 000000470885.jpg, 56, 6, 2, 180, 164, 198, 189
19, 000000063893.jpg, 57, 1, 2, 47, 131, 122, 202
19, 000000041155.jpg, 58, 1, 0, 155, 55, 226, 126
19, 000000041155.jpg, 58, 2, 2, 101, 264, 270, 415
19, 000000041155.jpg, 58, 3, 2, 347, 82, 354, 93
19, 000000343404.jpg, 59, 1, 2, 222, 193, 414, 368
19, 000000237002.jpg, 60, 1, 2, 91, 285, 96, 292
19, 000000237002.jpg, 60, 2, 2, 122, 285, 127, 292
19, 000000237002.jpg, 60, 3, 2, 215, 281, 219, 286
19, 000000578037.jpg, 61, 1, 0, 161, 90, 181, 110
19, 000000578037.jpg, 61, 2, 0, 321, 88, 341, 108
19, 000000578037.jpg, 61, 3, 1, 196, 199, 208, 221
19, 000000578037.jpg, 61, 4, 2, 355, 191, 411, 300
19, 000000578037.jpg, 61, 5, 2, 297, 196, 354, 306
19, 000000578037.jpg, 61, 6, 2, 255, 138, 284, 187
19, 000000578037.jpg, 61, 7, 2, 284, 143, 311, 194
19, 000000578037.jpg, 61, 8, 2, 201, 171, 236, 259
19, 000000578037.jpg, 61, 9, 2, 154, 214, 227, 370
19, 000000178951.jpg, 63, 1, 2, 293, 108, 327, 144
19, 000000178951.jpg, 63, 2, 2, 208, 104, 286, 178
19, 000000178951.jpg, 63, 3, 2, 339, 98, 360, 130
19, 000000178951.jpg, 63, 4, 2, 353, 93, 369, 116
19, 000000579937.jpg, 65, 1, 2, 176, 267, 240, 337
19, 000000579937.jpg, 65, 2, 2, 150, 206, 171, 244
19, 000000326113.jpg, 66, 1, 0, 129, 83, 153, 106
19, 000000326113.jpg, 66, 2, 2, 125, 176, 279, 280
19, 000000521679.jpg, 67, 1, 1, 92, 125, 129, 143
19, 000000521679.jpg, 67, 2, 1, 106, 144, 131, 177
19, 000000376087.jpg, 68, 1, 0, 27, 77, 149, 200
19, 000000376087.jpg, 68, 2, 2, 0, 279, 282, 415
19, 000000360926.jpg, 69, 1, 2, 187, 266, 282, 350
19, 000000217082.jpg, 70, 1, 2, 33, 0, 103, 60
19, 000000370426.jpg, 71, 1, 2, 61, 93, 75, 107
19, 000000303320.jpg, 72, 1, 1, 127, 49, 244, 203
19, 000000303320.jpg, 72, 2, 2, 197, 198, 246, 291
19, 000000303320.jpg, 72, 3, 2, 2, 153, 22, 176
19, 000000392083.jpg, 73, 1, 2, 384, 348, 407, 384
19, 000000392083.jpg, 73, 2, 2, 164, 348, 186, 390
19, 000000392083.jpg, 73, 3, 2, 336, 350, 357, 384
19, 000000392083.jpg, 73, 4, 2, 86, 359, 109, 395
19, 000000392083.jpg, 73, 5, 2, 181, 350, 208, 390
19, 000000392083.jpg, 73, 6, 2, 279, 368, 309, 389
19, 000000519610.jpg, 74, 1, 0, 129, 62, 214, 147
19, 000000519610.jpg, 74, 2, 1, 221, 286, 268, 326
19, 000000519610.jpg, 74, 3, 2, 270, 168, 416, 263
19, 000000519610.jpg, 74, 4, 2, 5, 223, 314, 416
19, 000000104368.jpg, 75, 1, 0, 117, 108, 137, 128
19, 000000104368.jpg, 75, 2, 0, 267, 118, 287, 138
19, 000000104368.jpg, 75, 3, 0, 307, 212, 348, 253
19, 000000104368.jpg, 75, 4, 0, 1, 171, 50, 221
19, 000000104368.jpg, 75, 5, 0, 279, 148, 299, 168
19, 000000104368.jpg, 75, 6, 0, 244, 226, 273, 255
19, 000000104368.jpg, 75, 7, 2, 99, 174, 156, 251
19, 000000104368.jpg, 75, 8, 2, 241, 224, 320, 318
19, 000000104368.jpg, 75, 9, 2, 200, 127, 244, 200
19, 000000104368.jpg, 75, 10, 2, 273, 273, 367, 358
19, 000000104368.jpg, 75, 11, 2, 0, 282, 146, 415
19, 000000104368.jpg, 75, 12, 2, 4, 114, 37, 139
19, 000000104368.jpg, 75, 13, 2, 236, 181, 292, 251
19, 000000257821.jpg, 76, 1, 0, 221, 228, 241, 248
19, 000000257821.jpg, 76, 2, 2, 87, 316, 262, 411
19, 000000257821.jpg, 76, 3, 2, 197, 174, 334, 240
19, 000000187442.jpg, 77, 1, 0, 175, 45, 204, 73
19, 000000187442.jpg, 77, 2, 0, 294, 77, 344, 126
19, 000000187442.jpg, 77, 3, 0, 224, 65, 253, 94
19, 000000187442.jpg, 77, 4, 1, 271, 190, 307, 220
19, 000000187442.jpg, 77, 5, 1, 170, 186, 204, 209
19, 000000187442.jpg, 77, 6, 2, 167, 2, 183, 12
19, 000000187442.jpg, 77, 7, 2, 103, 185, 280, 327
19, 000000224975.jpg, 78, 1, 2, 145, 169, 234, 200
19, 000000173893.jpg, 79, 1, 0, 266, 96, 351, 181
19, 000000173893.jpg, 79, 2, 0, 102, 58, 204, 160
19, 000000173893.jpg, 79, 3, 1, 268, 319, 322, 392
19, 000000173893.jpg, 79, 4, 1, 362, 207, 400, 276
19, 000000173893.jpg, 79, 5, 2, 387, 174, 415, 186
19, 000000173893.jpg, 79, 6, 2, 0, 210, 14, 240
19, 000000173893.jpg, 79, 7, 2, 1, 229, 284, 416
19, 000000080619.jpg, 80, 1, 0, 245, 32, 294, 81
19, 000000080619.jpg, 80, 2, 1, 304, 188, 342, 212
19, 000000080619.jpg, 80, 3, 2, 203, 218, 381, 416
19, 000000447733.jpg, 81, 1, 0, 255, 122, 275, 142
19, 000000447733.jpg, 81, 2, 2, 224, 176, 366, 268
19, 000000018584.jpg, 82, 1, 0, 48, 169, 82, 203
19, 000000018584.jpg, 82, 2, 0, 175, 261, 204, 289
19, 000000018584.jpg, 82, 3, 2, 278, 312, 325, 373
19, 000000018584.jpg, 82, 4, 2, 347, 316, 400, 366
19, 000000018584.jpg, 82, 5, 2, 259, 307, 284, 340
19, 000000018584.jpg, 82, 6, 2, 0, 294, 102, 416
19, 000000018584.jpg, 82, 7, 2, 138, 344, 218, 416
19, 000000018584.jpg, 82, 8, 2, 109, 272, 169, 317
19, 000000018584.jpg, 82, 9, 2, 176, 367, 275, 415
19, 000000018584.jpg, 82, 10, 2, 235, 302, 262, 328
19, 000000018584.jpg, 82, 11, 2, 195, 294, 225, 309
19, 000000475182.jpg, 83, 1, 0, 169, 162, 189, 182
19, 000000475182.jpg, 83, 2, 2, 136, 265, 267, 388
19, 000000475182.jpg, 83, 3, 2, 39, 203, 82, 281
19, 000000475182.jpg, 83, 4, 2, 114, 206, 168, 296
19, 000000475182.jpg, 83, 5, 2, 347, 150, 374, 183
19, 000000257928.jpg, 84, 1, 2, 273, 238, 331, 344
19, 000000257928.jpg, 84, 2, 2, 158, 241, 203, 331
19, 000000257928.jpg, 84, 3, 2, 44, 171, 85, 255
19, 000000557582.jpg, 85, 1, 0, 120, 98, 190, 169
19, 000000557582.jpg, 85, 2, 0, 275, 53, 360, 138
19, 000000557582.jpg, 85, 3, 1, 205, 155, 255, 222
19, 000000557582.jpg, 85, 4, 1, 313, 149, 354, 220
19, 000000393241.jpg, 86, 1, 0, 220, 100, 261, 141
19, 000000393241.jpg, 86, 2, 0, 109, 111, 137, 140
19, 000000393241.jpg, 86, 3, 2, 353, 266, 382, 316
19, 000000393241.jpg, 86, 4, 2, 0, 270, 27, 355
19, 000000393241.jpg, 86, 5, 2, 329, 322, 357, 354
19, 000000393241.jpg, 86, 6, 2, 308, 321, 337, 353
19, 000000393241.jpg, 86, 7, 2, 277, 327, 305, 355
19, 000000393241.jpg, 86, 8, 2, 355, 323, 388, 354
19, 000000393241.jpg, 86, 9, 2, 32, 278, 146, 415
19, 000000393241.jpg, 86, 10, 2, 379, 278, 411, 342
19, 000000452750.jpg, 88, 1, 1, 81, 6, 154, 43
19, 000000452750.jpg, 88, 2, 2, 4, 264, 307, 416
19, 000000184275.jpg, 90, 1, 2, 325, 263, 415, 328
19, 000000184275.jpg, 90, 2, 2, 172, 206, 265, 300
19, 000000184275.jpg, 90, 3, 2, 307, 17, 375, 70
19, 000000352709.jpg, 91, 1, 2, 352, 332, 371, 370
19, 000000352709.jpg, 91, 2, 2, 214, 128, 234, 171
19, 000000352709.jpg, 91, 3, 2, 382, 127, 396, 161
19, 000000352709.jpg, 91, 4, 2, 175, 124, 189, 159
19, 000000352709.jpg, 91, 5, 2, 149, 119, 169, 158
19, 000000352709.jpg, 91, 6, 2, 89, 336, 113, 379
19, 000000352709.jpg, 91, 7, 2, 4, 121, 27, 167
19, 000000352709.jpg, 91, 8, 2, 4, 337, 26, 380
19, 000000352709.jpg, 91, 9, 2, 117, 132, 138, 165
19, 000000352709.jpg, 91, 10, 2, 297, 334, 320, 377
19, 000000352709.jpg, 91, 11, 2, 371, 333, 393, 369
19, 000000352709.jpg, 91, 12, 2, 357, 124, 375, 161
19, 000000352709.jpg, 91, 13, 2, 323, 131, 344, 169
19, 000000352709.jpg, 91, 14, 2, 132, 333, 150, 370
19, 000000352709.jpg, 91, 15, 2, 148, 333, 165, 370
19, 000000352709.jpg, 91, 16, 2, 300, 126, 325, 170
19, 000000352709.jpg, 91, 17, 2, 341, 122, 360, 160
19, 000000352709.jpg, 91, 18, 2, 170, 336, 186, 372
19, 000000352709.jpg, 91, 19, 2, 319, 335, 340, 376
19, 000000352709.jpg, 91, 20, 2, 226, 337, 241, 375
19, 000000352709.jpg, 91, 21, 2, 23, 126, 42, 165
19, 000000352709.jpg, 91, 22, 2, 287, 128, 304, 165
19, 000000352709.jpg, 91, 23, 2, 94, 124, 120, 166
19, 000000352709.jpg, 91, 24, 2, 17, 339, 35, 379
19, 000000352709.jpg, 91, 25, 2, 134, 120, 154, 156
19, 000000352709.jpg, 91, 26, 2, 338, 331, 356, 367
19, 000000352709.jpg, 91, 27, 2, 113, 342, 133, 376
19, 000000352709.jpg, 91, 28, 2, 281, 335, 298, 373
19, 000000352709.jpg, 91, 29, 2, 404, 332, 416, 367
19, 000000352709.jpg, 91, 30, 2, 205, 336, 229, 378
19, 000000352709.jpg, 91, 31, 2, 228, 130, 246, 169
19, 000000352709.jpg, 91, 32, 2, 77, 337, 94, 375
19, 000000352709.jpg, 91, 33, 2, 266, 125, 281, 163
19, 000000352709.jpg, 91, 34, 2, 39, 339, 54, 375
19, 000000352709.jpg, 91, 35, 2, 244, 338, 259, 374
19, 000000352709.jpg, 91, 36, 2, 59, 122, 75, 160
19, 000000362739.jpg, 92, 1, 2, 235, 317, 251, 333
19, 000000253686.jpg, 93, 1, 2, 192, 284, 309, 395
19, 000000282206.jpg, 94, 1, 2, 186, 211, 256, 242
19, 000000254660.jpg, 95, 1, 1, 14, 260, 59, 292
19, 000000254660.jpg, 95, 2, 2, 388, 9, 416, 67
19, 000000360730.jpg, 97, 1, 0, 151, 90, 273, 212
19, 000000360730.jpg, 97, 2, 0, 313, 184, 333, 204
19, 000000360730.jpg, 97, 3, 1, 278, 260, 333, 312
19, 000000360730.jpg, 97, 4, 2, 303, 281, 412, 405
19, 000000360730.jpg, 97, 5, 2, 0, 268, 302, 416
19, 000000360730.jpg, 97, 6, 2, 302, 221, 351, 275
19, 000000222758.jpg, 98, 1, 2, 117, 275, 256, 359
19, 000000050414.jpg, 99, 1, 1, 184, 61, 203, 96
19, 000000050414.jpg, 99, 2, 1, 142, 198, 155, 245
19, 000000050414.jpg, 99, 3, 2, 93, 181, 415, 326
19, 000000139831.jpg, 100, 1, 2, 229, 192, 298, 262
19, 000000430763.jpg, 101, 1, 2, 0, 149, 32, 213
19, 000000430763.jpg, 101, 2, 2, 324, 139, 363, 194
19, 000000430763.jpg, 101, 3, 2, 280, 145, 315, 183
19, 000000430763.jpg, 101, 4, 2, 74, 142, 109, 207
19, 000000430763.jpg, 101, 5, 2, 231, 114, 268, 148
19, 000000430763.jpg, 101, 6, 2, 353, 139, 385, 190
19, 000000430763.jpg, 101, 7, 2, 381, 143, 403, 183
19, 000000430763.jpg, 101, 8, 2, 396, 138, 415, 181
19, 000000430763.jpg, 101, 9, 2, 308, 135, 328, 177
19, 000000430763.jpg, 101, 10, 2, 260, 136, 291, 184
19, 000000430763.jpg, 101, 11, 2, 112, 104, 147, 129
19, 000000430763.jpg, 101, 12, 2, 41, 112, 64, 154
19, 000000430763.jpg, 101, 13, 2, 34, 123, 57, 156
19, 000000182236.jpg, 102, 1, 0, 193, 120, 228, 154
19, 000000182236.jpg, 102, 2, 2, 143, 172, 271, 244
19, 000000387606.jpg, 103, 1, 2, 289, 81, 369, 164
19, 000000387606.jpg, 103, 2, 2, 29, 234, 242, 411
19, 000000387606.jpg, 103, 3, 2, 355, 110, 415, 157
19, 000000353006.jpg, 104, 1, 0, 155, 119, 226, 190
19, 000000353006.jpg, 104, 2, 2, 102, 210, 281, 320
19, 000000148101.jpg, 107, 1, 0, 0, 213, 47, 283
19, 000000148101.jpg, 107, 2, 1, 63, 231, 90, 260
19, 000000148101.jpg, 107, 3, 2, 278, 274, 415, 415
19, 000000236516.jpg, 108, 1, 0, 191, 141, 262, 212
19, 000000236516.jpg, 108, 2, 0, 69, 112, 140, 183
19, 000000236516.jpg, 108, 3, 1, 297, 252, 350, 295
19, 000000236516.jpg, 108, 4, 1, 154, 209, 191, 258
19, 000000236516.jpg, 108, 5, 2, 84, 266, 382, 416
19, 000000431312.jpg, 109, 1, 0, 185, 68, 287, 170
19, 000000170398.jpg, 111, 1, 0, 100, 77, 150, 126
19, 000000170398.jpg, 111, 2, 0, 270, 98, 329, 157
19, 000000170398.jpg, 111, 3, 1, 277, 207, 302, 232
19, 000000170398.jpg, 111, 4, 2, 79, 123, 227, 203
19, 000000170398.jpg, 111, 5, 2, 201, 231, 360, 410
19, 000000334648.jpg, 112, 1, 0, 249, 45, 334, 130
19, 000000334648.jpg, 112, 2, 1, 233, 275, 319, 341
19, 000000334648.jpg, 112, 3, 1, 136, 241, 217, 288
19, 000000334648.jpg, 112, 4, 2, 21, 259, 330, 416
19, 000000401071.jpg, 113, 1, 2, 10, 251, 39, 283
19, 000000401071.jpg, 113, 2, 2, 106, 256, 211, 272
19, 000000401071.jpg, 113, 3, 2, 246, 191, 270, 208
19, 000000401071.jpg, 113, 4, 2, 95, 226, 135, 237
19, 000000401071.jpg, 113, 5, 2, 332, 195, 368, 215
19, 000000382081.jpg, 114, 1, 0, 125, 97, 174, 146
19, 000000382081.jpg, 114, 2, 1, 99, 325, 114, 362
19, 000000382081.jpg, 114, 3, 2, 20, 259, 160, 416
19, 000000301169.jpg, 115, 1, 0, 126, 152, 249, 274
19, 000000301169.jpg, 115, 2, 1, 263, 234, 325, 299
19, 000000301169.jpg, 115, 3, 1, 41, 237, 106, 306
19, 000000301169.jpg, 115, 4, 2, 1, 271, 324, 416
19, 000000211604.jpg, 116, 1, 1, 159, 165, 196, 210
19, 000000211604.jpg, 116, 2, 1, 277, 141, 309, 164
19, 000000102400.jpg, 117, 1, 2, 324, 194, 345, 210
19, 000000065271.jpg, 119, 1, 0, 175, 59, 215, 100
19, 000000065271.jpg, 119, 2, 2, 104, 235, 247, 402
19, 000000030247.jpg, 120, 1, 2, 116, 255, 161, 344
19, 000000030247.jpg, 120, 2, 2, 18, 238, 42, 276
19, 000000030247.jpg, 120, 3, 2, 263, 216, 280, 243
19, 000000030247.jpg, 120, 4, 2, 363, 228, 389, 269
19, 000000487464.jpg, 121, 1, 0, 270, 150, 294, 173
19, 000000487464.jpg, 121, 2, 2, 228, 220, 342, 294
19, 000000356043.jpg, 122, 1, 0, 133, 27, 235, 129
19, 000000356043.jpg, 122, 2, 1, 293, 159, 337, 254
19, 000000356043.jpg, 122, 3, 2, 45, 225, 353, 416
19, 000000273586.jpg, 123, 1, 2, 205, 188, 250, 237
19, 000000273586.jpg, 123, 2, 2, 347, 109, 374, 122
19, 000000331551.jpg, 124, 1, 0, 157, 92, 216, 151
19, 000000331551.jpg, 124, 2, 2, 105, 206, 279, 353
19, 000000331551.jpg, 124, 3, 2, 109, 132, 277, 210
19, 000000362151.jpg, 125, 1, 2, 216, 216, 284, 283
19, 000000040158.jpg, 127, 1, 2, 131, 206, 190, 246
19, 000000209166.jpg, 129, 1, 2, 0, 267, 66, 356
19, 000000209166.jpg, 129, 2, 2, 61, 261, 213, 414
19, 000000241294.jpg, 131, 1, 0, 313, 26, 384, 97
19, 000000170540.jpg, 132, 1, 0, 191, 130, 215, 154
19, 000000170540.jpg, 132, 2, 2, 243, 197, 309, 265
19, 000000170540.jpg, 132, 3, 2, 137, 200, 176, 261
19, 000000170540.jpg, 132, 4, 2, 320, 183, 377, 255
19, 000000170540.jpg, 132, 5, 2, 164, 241, 254, 364
19, 000000170540.jpg, 132, 6, 2, 365, 174, 398, 235
19, 000000170540.jpg, 132, 7, 2, 143, 138, 177, 162
19, 000000294652.jpg, 133, 1, 0, 253, 169, 281, 197
19, 000000294652.jpg, 133, 2, 0, 146, 143, 175, 171
19, 000000294652.jpg, 133, 3, 1, 269, 306, 290, 324
19, 000000294652.jpg, 133, 4, 1, 317, 333, 327, 364
19, 000000294652.jpg, 133, 5, 2, 237, 312, 332, 415
19, 000000294652.jpg, 133, 6, 2, 108, 307, 191, 416
